selected_oewn_synset	surface	surface_key	mean_frequency	max_frequency	nonzero_years	year_start	year_end	corpus	smoothing	case_insensitive	query_url	status
oewn-00137149-n	kicking	kicking	5.07474578172e-06	7.26260786532e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00175261-n	measure	measure	7.70910210009e-05	8.45166554087e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00175261-n	step	step	0.00012184445586	0.00013561160739	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00201907-n	passage	passage	4.26584767656e-05	4.52150967194e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00201907-n	transition	transition	4.73060164041e-05	5.77212517758e-05	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00208471-n	barring	barring	1.70553965088e-06	2.21377081244e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00208471-n	blackball	blackball	3.82201406231e-08	5.12080840509e-08	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00255636-n	shave	shave	2.03219277756e-06	2.60035982699e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00255636-n	shaving	shaving	1.77156071991e-06	2.03345353544e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
oewn-00267650-n	fixing	fixing	6.6665451479e-06	7.12125702435e-06	20	2000	2019	26	0	true	https://books.google.com/ngrams/json?content=person%2Cindividual%2Csomeone%2Csomebody%2Canimal%2Cbeast%2Ccreature%2Cfauna%2Cgroup%2Cgrouping%2Cdeparture%2Cgoing%2Cleaving%2Cboarding%2Cembarkment%2Cpull%2Cpulling%2Cchop%2Cchopper%2Ckick%2Ckicking%2Cmeasure%2Cstep%2Cpassage%2Ctransition%2Cbarring%2Cblackball%2Cshave%2Cshaving%2Crepair%2Cfixing%2Cback+door%2Cbackdoor%2Cwalk%2Cwalking%2Ctravel%2Ctraveling%2Ctravelling%2Cparasailing%2Cparagliding&year_start=2000&year_end=2019&corpus=26&smoothing=0&case_insensitive=true	ok
