raw	canonical	source	notes
entire	entire	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_attribute_synset_selected
curly	curly	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
gravel	gravel	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
low	low	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
hanging	hanging	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_conditional_modifier_synset
rock	rock	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
forest	forest	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_keep_selected_synset
various	various	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
camouflage	camouflage	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_overrode_auto_selection
older	older	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_selected_attribute_compatible_synset
deep	deep	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
historic	historic	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
main	main	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
surrounding	surrounding	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
empty	empty	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
maroon	maroon	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_corrected_synset
carved	carved	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=selected_attribute_compatible
shiny	shiny	gpic_observed_attribute_inventory	export_tag=chosen_canonical_synonym; decision_status=chosen; canonical_selection_tag=selected_single_observed_variant_matched_synset_lemma; decision_reason=manual_accept_selected_synset
